,training_noun_phrases,skill_set_bool
23660,data sourcestroubleshoot,1
23661,area,0
23662,processesassist,0
23663,testing,0
23664,support,0
23665,involvement,0
23666,various project,0
23667,bi team,1
23668,finance team,0
23669,requiredshare knowledge,1
23670,bi reporting team,1
23671,excellent numerical analytical skill,0
23672,finance,0
23673,information management,1
23674,math,0
23675,statisticsknowledge,0
23676,data cleansing,1
23677,data enrichment,1
23678,techniquesdata quality control,0
23679,validation,0
23680,linkage,0
23681,statistical methodology,0
23682,data analysis techniquesexperience,1
23683,sap business object web intelligence,0
23684,tm planning analytics,0
23685,similar reporting,1
23686,timescales,0
23687,new technology,0
23688,rapport,0
23689,reporting solution,1
23690,global law firm,0
23691,lawyer,0
23692,country,0
23693,middle east,0
23694,asia pacific,0
23695,global reach,0
23696,business,0
23697,legal need,0
23698,world,0
23699,quality,0
23700,service excellence,0
23701,practical innovative legal solution,0
23702,client,0
23703,fortune enterprise,0
23704,emerging company,0
23705,public sector body,0
23706,everything,0
23707,people,0
23708,client,0
23709,value,0
23710,others,0
23711,value diversity,0
23712,thoughtfullybe collaborative,0
23713,diversity,0
23714,inclusion,0
23715,value,0
23716,everyone,0
23717,voice,0
23718,everyone,0
23719,rich diversity,0
23720,firm,0
23721,client,0
23722,community,0
23723,culture,0
23724,everyone,0
23725,work,0
23726,diversity,0
23727,perspective,0
23728,culture,0
23729,u,0
23730,unique contribution,0
23731,talent,0
23732,background,0
23733,circumstance,0
23734,support,0
23735,consideration,0
23736,working,0
23737,responsibility,0
23738,career,0
23739,candidate,0
23740,different way,0
23741,agile working arrangement,0
23742,centre,0
23743,town,0
23744,derby,0
23745,ongoing success,0
23746,need,0
23747,data analyst,1
23748,existing team,0
23749,busy interesting role,0
23750,data analysis,1
23751,information,0
23752,project progressreviewing,0
23753,analysis,1
23754,order,0
23755,efficiency,0
23756,successful candidate,0
23757,excel,1
23758,powerpoint,1
23759,great analytical diagnostic skill,0
23760,effective report,1
23761,remote working role,0
23762,occasional visit,0
23763,derby office,0
23764,benefit,0
23765,client,0
23766,great opportunity,0
23767,progression,0
23768,management,1
23769,control,0
23770,compliance,0
23771,right skill,0
23772,experience,0
23773,challenge,0
23774,career move,0
23775,occasion,0
23776,agy,0
23777,job title,0
23778,data analyst salary,1
23779,pa plus bonus benefit location,0
23780,london,0
23781,leader,0
23782,sector,0
23783,sure fire way,0
23784,restaurant,0
23785,increase sale,0
23786,hospitality market,0
23787,year,0
23788,retail,0
23789,excellent communication,1
23790,team approach,0
23791,growth,0
23792,business,0
23793,python developer skillssql skillsyou,1
23794,data management,1
23795,implementation,0
23796,maintenance,0
23797,computer science,1
23798,engineering,0
23799,excel,1
23800,detail,0
23801,cv,0
23802,experience,0
23803,sql script,1
23804,sql server,1
23805,adhoc data insight presentation,1
23806,wellestablished company,0
23807,high wycombe,0
23808,buckinghamshire,0
23809,salary,0
23810,competitive,0
23811,private healthcare,0
23812,health cashplan,0
23813,death,0
23814,service,0
23815,flexibility,0
23816,high wycombe,0
23817,buckinghamshire,0
23818,candidate,0
23819,head office,0
23820,transport,0
23821,expansion,0
23822,existing team,0
23823,fantastic new job opportunity,0
23824,senior data analyst data scientist,1
23825,cpg,0
23826,fmcg,0
23827,knowledge,1
23828,sql script,1
23829,sql server,1
23830,adhoc data insight presentation,1
23831,sql server,1
23832,duty,0
23833,senior data analyst data scientist,1
23834,regular adhoc data insight presentation,1
23835,report,1
23836,client relationship,0
23837,core software,0
23838,service,0
23839,lost sale value,0
23840,capture client requirement,0
23841,existing solution,0
23842,ensure data validity,1
23843,extracting data,1
23844,data,1
23845,analysis,1
23846,field sale force,0
23847,agreement,0
23848,external data source,1
23849,alteryx,1
23850,excel,1
23851,tool,1
23852,model,0
23853,tool,1
23854,candidate requirement,0
23855,following skill,0
23856,experience,0
23857,cpg,0
23858,knowledge,1
23859,solid understanding,0
23860,statistic,0
23861,data,1
23862,experience,0
23863,alteryx etc,1
23864,job vacancy,0
23865,cv,0
23866,recruitment team,0
23867,job applicant,0
23868,requirement,0
23869,consideration,0
23870,u,0
23871,u,0
23872,express consent,0
23873,job ref,0
23874,awdop,0
23875,fulltime,0
23876,permanent job,0
23877,career,0
23878,vacancy,0
23879,new job,0
23880,work,0
23881,job,0
23882,awd,0
23883,employment agency,0
23884,newly created standalone role,0
23885,busy customer service team,0
23886,data analyst,1
23887,customer service,0
23888,investigation,0
23889,new improved way,0
23890,data crunching,1
23891,good excel,1
23892,data analyst,1
23893,enthusiastic selfmotivated individual,0
23894,commitment,0
23895,attitude,0
23896,capability,0
23897,area,0
23898,improvement,0
23899,possible solution,0
23900,process improvement procedure,0
23901,operation efficiency,0
23902,metric,0
23903,improvement,0
23904,data gathering,1
23905,root cause,0
23906,order,0
23907,appropriate process control change,0
23908,facilitate lead monitor improvement project,0
23909,internal external customer,0
23910,way,0
23911,brief,0
23912,deadline,0
23913,timeframes,0
23914,experience,0
23915,knowledge,1
23916,competency,0
23917,customer service,0
23918,experience,0
23919,customer service environment,0
23920,root cause analysis,1
23921,problem,0
23922,solvingadvanced excel knowledge,1
23923,problem,0
23924,technique,0
23925,experience,0
23926,working knowledge,1
23927,google mail google toolsa team player,0
23928,muck indemonstrates proactivity,0
23929,cando attitude ability,0
23930,initiative,0
23931,resilience,0
23932,friday,0
23933,opportunity,0
23934,part,0
23935,huge successful world leader,0
23936,role,0
23937,permanent basis,0
23938,potential,0
23939,office,0
23940,line,0
23941,position,0
23942,interest,0
23943,necessary required skill,0
23944,data analyst,1
23945,hour,0
23946,temp role,0
23947,possibility,0
23948,established public sector client,0
23949,someone,0
23950,data analyst experience,1
23951,excellent people skill,0
23952,role,0
23953,data,1
23954,power bi,1
23955,advanced excel skill,1
23956,primary duty,0
23957,house,0
23958,incoming data,1
23959,qualityproducing regular adhoc report,1
23960,excel,1
23961,customer,0
23962,requirement,0
23963,data presentationcreating bespoke report,1
23964,key metric,0
23965,analyse trend,0
23966,actionable insight,1
23967,issue,0
23968,power bi,1
23969,least year experience,0
23970,pivot table,1
23971,formula vba proficiency desirableproficient,0
23972,data management principlesexperience,1
23973,large datasetsexperience,0
23974,visualisationsknowledge,0
23975,data protection,1
23976,power bi,1
23977,training,0
23978,day,0
23979,excellent verbal written communication,1
23980,skillsfull understanding,0
23981,timeforwardthinking,0
23982,vacancy,0
23983,interview,0
23984,place,0
23985,period,0
23986,client,0
23987,technology offering,0
23988,opportunity,0
23989,transformation programme,0
23990,customer,0
23991,environment,0
23992,data analyst,1
23993,emerging need,0
23994,outline solution,0
23995,way,0
23996,development,1
23997,production,0
23998,workloadtime,0
23999,managementdelivery,0
24000,detail,0
24001,issuesstrong team,0
24002,findingsresilience,0
24003,ability,0
24004,microsoft office,1
24005,power bi,1
24006,power apps,0
24007,successful applicant,0
24008,someone,0
24009,initiative,0
24010,box,0
24011,customer,0
24012,data platform,1
24013,report,1
24014,audience,0
24015,significant difference,0
24016,company business result,0
24017,organisational governance structure,0
24018,offer flexible working environment,0
24019,strong well established brand,0
24020,withgood salary,0
24021,packagecentral horsham location morgan mckinley,0
24022,reference,0
24023,rate,0
24024,role,0
24025,use,0
24026,morgan mckinley service,0
24027,employer,0
24028,trade service,0
24029,yorkshire,0
24030,uk foremost business support organisation,0
24031,number,0
24032,people,0
24033,team,0
24034,opportunity,0
24035,recognition,0
24036,achievement,0
24037,job enrichment,0
24038,maximum flexibility,0
24039,kpis,0
24040,collection,0
24041,management information,1
24042,process,0
24043,integrity,0
24044,intelligence activity,0
24045,international trade team,0
24046,identification,0
24047,targeted deduplicated list,0
24048,use,0
24049,data source,1
24050,data protection,1
24051,data security,1
24052,compliance,0
24053,data auditing requirement,1
24054,level,0
24055,large database,1
24056,scripting programming skill,1
24057,sql,1
24058,python,1
24059,monitoring,0
24060,information,0
24061,deduplication,0
24062,datasets,1
24063,machine,0
24064,nave bayes,0
24065,decision forest,1
24066,data visualisation,1
24067,power bi,1
24068,equivalent,0
24069,bag,0
24070,tf idf,0
24071,benefit,0
24072,broadband allowance,0
24073,generous noncontributory pension scheme,0
24074,condition,0
24075,condition,0
24076,year service,0
24077,part time,0
24078,first aiders wellbeing support,0
24079,employee,0
24080,value diversity,0
24081,barnsley,0
24082,covid,0
24083,mandatory baseline personnel security standard,1
24084,verification,0
24085,identity,0
24086,confirmation,0
24087,unspent conviction,0
24088,uk,0
24089,data insight analyst sunderland,1
24090,wear,0
24091,bonus,0
24092,better time,0
24093,career,0
24094,analytics,0
24095,next level,0
24096,key client,0
24097,unparalleled growth,0
24098,past month,0
24099,business,0
24100,newly launched data strategy,1
24101,important requirement,0
24102,transition,0
24103,business decision making,1
24104,data,1
24105,innovative method,0
24106,finding,0
24107,ability,0
24108,easily digestible information,0
24109,company,0
24110,fantastic culture,0
24111,desk,0
24112,personal space,0
24113,barrage,0
24114,inclusive snack,0
24115,refreshment,0
24116,space,0
24117,data fluent guru,1
24118,power bi qlik tableau otherssql fluency,1
24119,basic querying,0
24120,client,0
24121,glasgow,0
24122,exciting opportunity,0
24123,junior analyst,0
24124,analytical team,0
24125,ideal opportunity,0
24126,numerical related degree,0
24127,analytical field,0
24128,role,0
24129,selfmotivated highly numerate candidate,0
24130,significant difference,0
24131,wellestablished rapidly growing organisation,0
24132,essentialexperience,0
24133,data analyst,1
24134,advanced microsoft access,1
24135,advanced excel skill,1
24136,excellent communication skill,1
24137,strong organisational skill,0
24138,amp,0
24139,experience,0
24140,data selection,1
24141,consumer data,1
24142,experience,0
24143,segmentation,0
24144,split,0
24145,testing,0
24146,knowledge,1
24147,data visualisation tool,1
24148,experience,0
24149,consumer classification system,0
24150,gdpr data protection regulation,1
24151,large volume,0
24152,application,0
24153,role,0
24154,job search,0
24155,client,0
24156,support,0
24157,child,0
24158,family,0
24159,child,0
24160,school,0
24161,school,0
24162,data analystlocation,1
24163,organisation head office,0
24164,stratford,0
24165,e,0
24166,annum,0
24167,internship,0
24168,chart,0
24169,skill,0
24170,child,0
24171,responsibility,0
24172,day,0
24173,team,0
24174,analysis,1
24175,business strategy,0
24176,ideal role,0
24177,internship permanent position,0
24178,minimum supervision,0
24179,ability,0
24180,time,0
24181,critical task,0
24182,business need,0
24183,responsibility,0
24184,generate,0
24185,edit,0
24186,dashboard,0
24187,data,1
24188,external research,0
24189,exploratory analysis,1
24190,internal staff,0
24191,data recording best practice,1
24192,case recording system,0
24193,impact development manager,1
24194,organisational policy,0
24195,procedure,0
24196,closing date,0
24197,pm,0
24198,job board process,0
24199,email,0
24200,chm recruit,0
24201,application,0
24202,spam junk mail folder,0
24203,job board,0
24204,client,0
24205,application,0
24206,section,0
24207,charity,0
24208,duty,0
24209,care,0
24210,welfare,0
24211,child,0
24212,safeguarding practice,0
24213,government guidance,0
24214,complies,0
24215,best practice,0
24216,welfare,0
24217,child,0
24218,circumstance,0
24219,agency,0
24220,u,0
24221,coventry building society,0
24222,time,0
24223,change,0
24224,senior data science analytics manager,1
24225,purpose,0
24226,role,0
24227,business function,0
24228,production,0
24229,mi,0
24230,assessment,0
24231,business requirement,0
24232,data analysis,1
24233,delivery,1
24234,technology,0
24235,technique,0
24236,mi data analyst,1
24237,excellence,0
24238,requirement,0
24239,available data,1
24240,change,0
24241,system,0
24242,final requirement,0
24243,business owner,0
24244,data analysis,1
24245,order,0
24246,development,1
24247,maintenance,0
24248,financial model,0
24249,aws data science tool,1
24250,mi data analyst,1
24251,internal function,0
24252,expert knowledge,1
24253,stakeholder,0
24254,essential,0
24255,strong sql knowledge,1
24256,excellent communication presentation skill,1
24257,source,0
24258,relational dimensional database,1
24259,semistructured unstructured data,1
24260,model,0
24261,familiarity,0
24262,business analysis,1
24263,ideally cognos reportquery studio v,0
24264,experience,0
24265,qliksense,0
24266,awareness,0
24267,stakeholder engagement,0
24268,management,1
24269,collaboration,0
24270,new idea,0
24271,gain buy,0
24272,data cataloguesmetadata management solution,1
24273,collibra,0
24274,experience,0
24275,data science,1
24276,closing date,0
24277,application,0
24278,coventry building society,0
24279,second largest building society,0
24280,local value,0
24281,loyalty,0
24282,caring family ethos,0
24283,people,0
24284,list,0
24285,u,0
24286,different way,0
24287,role,0
24288,wider wellbeing,0
24289,flexible working arrangement,0
24290,familyfriendly policy,0
24291,employee,0
24292,career,0
24293,regular opportunity,0
24294,training,0
24295,new challenge,0
24296,internal progression,0
24297,sql data analyst,1
24298,exciting opportunity,0
24299,experienced sql data analyst,1
24300,leading charity,0
24301,stratford london,0
24302,growth,0
24303,change,0
24304,sql data analyst,1
24305,knowledge,1
24306,scripting,0
24307,sql,1
24308,number,0
24309,key project,0
24310,data quality,1
24311,full training,0
24312,technology,0
24313,ssrs,1
24314,ssis,1
24315,charity,0
24316,senior stakeholder,0
24317,career,0
24318,great opportunity,0
24319,ambitious data analyst,1
24320,previous exposure,0
24321,sql,1
24322,stakeholder,0
24323,charity,0
24324,fundraising,0
24325,experience,0
24326,sql skill knowledge,1
24327,intelligence fundraising analyst sql data analyst,1
24328,brilliant chance,0
24329,career,0
24330,hisher career,0
24331,full benefit,0
24332,large charity,0
24333,excellent benefit,0
24334,experience,0
24335,immediate consideration,0
24336,excellent opportunity,0
24337,vacancy,0
24338,product data analyst,1
24339,fully remote marketing looker,0
24340,google power bi,1
24341,scaleup,0
24342,wave,0
24343,industry,0
24344,fastest growth,0
24345,innovation,0
24346,product owner,0
24347,realtime data source,1
24348,datadriven insight analysislooker,1
24349,tableaumultivariate,0
24350,vacancy,0
24351,application,0
24352,question,0
24353,chat,0
24354,opportunity,0
24355,george bone,0
24356,call,0
24357,advert,0
24358,george,0
24359,product,0
24360,google,0
24361,looker,0
24362,power bi,1
24363,tableau,1
24364,qlikview google optimize,1
24365,launchdarkly google analytics,0
24366,sql remote,1
24367,business data analyst,1
24368,staines business analyst responsibility,0
24369,meaningful reporting tool,1
24370,businessensure,0
24371,statutory mandatory reporting,1
24372,source data,1
24373,accurate business analyst requirement,0
24374,prior experience,0
24375,advanced excel knowledgecommunication good interpersonal skill,1
24376,level,0
24377,different function,0
24378,high level,0
24379,accurate thorough reliable approach,0
24380,ability,0
24381,conscientious problem,0
24382,ability,0
24383,business colleague,0
24384,effective relationship,0
24385,business leader,0
24386,colleague,0
24387,network,0
24388,initiative,0
24389,plum personnel,0
24390,high level,0
24391,application,0
24392,time,0
24393,plum personnel,0
24394,employment agency,0
24395,relation,0
24396,equal opportunity employer,0
24397,experienced skilled strategic crime data analyst,1
24398,strategic analytical product,0
24399,senior decision maker,1
24400,stakeholder,0
24401,strategic crime data analyst,1
24402,data,1
24403,key decision,1
24404,degree level,0
24405,relevant data analysis experience,1
24406,previous experience,0
24407,either crime analysis,1
24408,data,1
24409,people,0
24410,relationship,0
24411,data,1
24412,proven ability,0
24413,professional boundary,0
24414,knowledge,1
24415,experience,0
24416,strategic analysis,1
24417,ability,0
24418,large quantity,0
24419,complex data,1
24420,ability,0
24421,key stakeholder,0
24422,organisation,0
24423,strategic analysis,1
24424,organisation,0
24425,credibility,0
24426,complex specialist information,0
24427,workshop,0
24428,vacancy location,0
24429,kidlington,0
24430,information,0
24431,elimination,0
24432,unlawful unfair discrimination,0
24433,difference,0
24434,diverse workforce,0
24435,organisation,0
24436,gpr,0
24437,age,0
24438,gender reassignment,0
24439,marriage,0
24440,civil partnership,0
24441,pregnancy,0
24442,maternity,0
24443,race,0
24444,colour,0
24445,nationality,0
24446,belief,0
24447,sexual orientation,0
24448,irrelevant factor,0
24449,culture,0
24450,openness,0
24451,fairness,0
24452,transparency,0
24453,location,0
24454,kent,0
24455,salary,0
24456,location,0
24457,kent,0
24458,candidate,0
24459,home county,0
24460,office client site,0
24461,business analyst,0
24462,data,1
24463,reliable highquality timely actionable information,0
24464,talent,0
24465,analysis,1
24466,confidence,0
24467,client,0
24468,value,0
24469,strategy,0
24470,modelling,1
24471,system design,0
24472,main strength,0
24473,understanding,0
24474,ability,0
24475,customer,0
24476,role,0
24477,status quo,0
24478,customer requirement,0
24479,clear report,1
24480,plan,0
24481,specification,0
24482,verbal written graphic communication,1
24483,preference,0
24484,audience,0
24485,year,0
24486,solid analysis experience,1
24487,consulting organisation,0
24488,level,0
24489,subject,0
24490,sound grasp,0
24491,logic,0
24492,reason,0
24493,confident communicator,0
24494,demonstrable experience,0
24495,data driven process,1
24496,proficiency,0
24497,notation,0
24498,bpmn,0
24499,modelling language,1
24500,experience,0
24501,fintech,0
24502,data,1
24503,team,0
24504,experienced analyst,0
24505,stakeholder management,1
24506,essential pythonpandas,0
24507,scikitlearncloud,0
24508,gcp,0
24509,aws,1
24510,azure,0
24511,vacancy,0
24512,application,0
24513,question,0
24514,chat,0
24515,opportunity,0
24516,george bone,0
24517,call,0
24518,george,0
24519,contact,0
24520,data analyst,1
24521,data scientist,1
24522,data science,1
24523,learn,0
24524,gcp,0
24525,aws,1
24526,azure,0
24527,bigquery,0
24528,bristol,0
24529,insight leadership team,1
24530,design,0
24531,development,1
24532,commercial operational thinking,0
24533,customer understanding,0
24534,intelligence,0
24535,business,0
24536,customer loyalty,0
24537,branding,0
24538,marketing strategy,0
24539,business proposal,0
24540,customer experience,0
24541,overview,0
24542,current customer database,1
24543,strategic insight,1
24544,customer segmentsraise profile,0
24545,customer insight team,1
24546,retail wider business,0
24547,analytical output,0
24548,business riskprovide front line user,0
24549,new business proposal,0
24550,ongoing projectsbe,0
24551,research tool,1
24552,application,0
24553,monkeydemonstrable experience,0
24554,large mass customer data,1
24555,crm,1
24556,retention,0
24557,customersprovide compelling analytical report,1
24558,suite,0
24559,standard report,1
24560,customer loyalty,0
24561,footfall,0
24562,operational profit,0
24563,support facility,0
24564,operational planning team,0
24565,adhoc data request,1
24566,business discipline,0
24567,commercial experience,0
24568,highly data driven role,1
24569,strong analytical approach,0
24570,experience,0
24571,leading analytical tool,1
24572,sql,1
24573,sa,0
24574,business object,0
24575,retailfinance,0
24576,marketing,0
24577,customer footfall,0
24578,loyalty,0
24579,success,0
24580,desirablea passion,0
24581,problem,0
24582,solvinga proactive flexible approachquality,0
24583,accuracy,0
24584,criticalexcellent presentation,1
24585,colleague,0
24586,levelsstrong communication,1
24587,good team player,0
24588,established brand,0
24589,exceptional training,0
24590,career development opportunity,1
24591,salary,0
24592,benefit,0
24593,experienced data analyst,1
24594,leading group,0
24595,international school,0
24596,global expansion,0
24597,member,0
24598,central marketing team,0
24599,london hq,0
24600,structured reporting,1
24601,key insight,1
24602,digital reporting process,1
24603,accurate data,1
24604,business,0
24605,clarity,0
24606,performance,1
24607,measurement strategy,0
24608,marketing admission objective,0
24609,meaningful kpi dashboard,0
24610,actionable insight,1
24611,talented qualified experienced data analyst digital,1
24612,data analysis business analysis data management,1
24613,insight,1
24614,affinity,0
24615,education,0
24616,great work,0
24617,date,0
24618,support,0
24619,different online offline channel,0
24620,role,0
24621,school admission process,0
24622,roi analysis,1
24623,effectiveness,0
24624,key metric,0
24625,trend,0
24626,actionable insight,1
24627,appropriate processing,0
24628,integrity,0
24629,data,1
24630,reporting,1
24631,data analyst,1
24632,successful candidate,0
24633,relevant field,0
24634,experience,0
24635,data analysis business analysis data management insight,1
24636,ability,0
24637,technical reporting requirement,1
24638,etlactivities,0
24639,data extraction,1
24640,data normalization,1
24641,demonstrated experience,0
24642,relational database,1
24643,analytical software,0
24644,process improvement,0
24645,implementation,0
24646,marketing business intelligence environment,0
24647,experience,0
24648,online marketing campaign,0
24649,data visualisation tool,1
24650,tableau,1
24651,power bi,1
24652,high level,0
24653,experience,0
24654,advanced excel,1
24655,microsoft word,1
24656,powerpoint,1
24657,client report,1
24658,good crosscultural interpersonal communication skill,1
24659,diverse nationality,0
24660,culture,0
24661,excellent analytical skill,0
24662,passion,0
24663,success,0
24664,ability,0
24665,multifunctional task,0
24666,google adwords,0
24667,google optimise,0
24668,client,0
24669,edinburgh,0
24670,exciting opportunity,0
24671,graduate,0
24672,analytical team,0
24673,ideal opportunity,0
24674,career,0
24675,analytical field,0
24676,role,0
24677,fantastic opportunity,0
24678,selfmotivated highly numerate graduate,0
24679,asignificant difference,0
24680,day,0
24681,analysis,1
24682,insight,1
24683,optimal management decision,1
24684,opportunity,0
24685,worldclass deliverable,0
24686,worldclass operation,0
24687,continuous improvement,0
24688,team,0
24689,highest standard,0
24690,key stakeholder,0
24691,minimum,0
24692,economics,0
24693,use,0
24694,microsoft office product suite,1
24695,working knowledge,1
24696,c,1
24697,logical analytical approach,0
24698,insightfulrecommendations,0
24699,bonus,0
24700,key stakeholder,0
24701,previous experience,0
24702,knowledge,1
24703,large volume,0
24704,role,0
24705,day,0
24706,application,0
24707,role,0
24708,graduate data analyst,1
24709,client,0
24710,london based role,0
24711,graduate,0
24712,successful career,0
24713,data focused role,1
24714,data,1
24715,report,1
24716,new opportunity,0
24717,business,0
24718,responsibility,0
24719,management,1
24720,application,0
24721,commercial opportunity,0
24722,datasetcommunicating,0
24723,advertising campaign,0
24724,degree level,0
24725,degree,0
24726,experience,0
24727,large set,0
24728,data,1
24729,report,1
24730,clientsa real passion,0
24731,uk,0
24732,apply,0
24733,graduate data analyst,1
24734,u,0
24735,cv,0
24736,u,0
24737,candidate,0
24738,associate consultant,0
24739,sphere digital recruitment,0
24740,sale,0
24741,analytics,0
24742,product,0
24743,talent,0
24744,client,0
24745,vacancy,0
24746,house,0
24747,business application system team,0
24748,experienced enthusiastic candidate,0
24749,ability,0
24750,data,1
24751,business system data reporting team,1
24752,key business stakeholder,0
24753,multiple department,0
24754,various project,0
24755,data infrastructure,1
24756,data model,1
24757,report,1
24758,system,0
24759,structured data,1
24760,behaviour,0
24761,business,0
24762,datadriven decisionmaking,0
24763,business,0
24764,part,0
24765,successful candidate,0
24766,data modelling,1
24767,data analysis,1
24768,team,0
24769,technology,0
24770,business,0
24771,best practice solution,0
24772,delivery,1
24773,data scoping,1
24774,data cleansing,1
24775,preparation,0
24776,development,1
24777,execution,0
24778,etl process,1
24779,data reconciliation,1
24780,acceptance,0
24781,support,0
24782,reporting,1
24783,meaningful report,1
24784,mi,0
24785,raw data,1
24786,datadriven recommendation,0
24787,data management advanced knowledge,1
24788,data warehousing,1
24789,database object,1
24790,view,0
24791,function,0
24792,new product functionality,0
24793,existing one,0
24794,business partnering working hand,0
24795,hand,0
24796,stakeholder,0
24797,level,0
24798,seniority,0
24799,ability,0
24800,business process,0
24801,logic,0
24802,data solution,1
24803,sale finance function,0
24804,communication expert,1
24805,documenting,0
24806,data model,1
24807,ability,0
24808,others,0
24809,role requirement,0
24810,experience,0
24811,end,0
24812,data sourcing,1
24813,delivery,1
24814,advanced query,0
24815,reporting,1
24816,table,1
24817,stored procedure,0
24818,yearsexperience,0
24819,various level,0
24820,yearsbusiness system implementation experience,0
24821,end,0
24822,yearsproducing report,1
24823,dashboard,0
24824,domo,0
24825,power bi,1
24826,setup,0
24827,existing data schema,1
24828,yearsworking experience,0
24829,top tier,0
24830,erp,0
24831,crm solution,1
24832,preferable workday,0
24833,salesforceexperience,0
24834,time zone,0
24835,data analyst reporting analyst senior,1
24836,new contract role,0
24837,senior data analyst,1
24838,day,0
24839,new company,0
24840,worldleading telecommunication company,0
24841,better digital society,0
24842,future,0
24843,experience,0
24844,network data project,1
24845,new role,0
24846,build analytical model,0
24847,crossprogram view,0
24848,performancemodel impact,0
24849,change,0
24850,actionshelp translate requirement,0
24851,sensible workable plan,0
24852,proposalsto,0
24853,cmo project management office,1
24854,data analytics,1
24855,insight,1
24856,datalabs,0
24857,macro,0
24858,large data setsknowledge,1
24859,fiber,0
24860,visualisation tool,1
24861,qlik,1
24862,tableaucommercial knowledge,1
24863,skillsfinancial acumen,0
24864,risk opportunitiesstakeholder skill,0
24865,decision maker,1
24866,role,0
24867,date,0
24868,cv,0
24869,job,0
24870,new position,0
24871,u,0
24872,career,0
24873,specialist recruitment limited,0
24874,permanent recruitment employment business,0
24875,supply,0
24876,tc,0
24877,disclaimer,0
24878,hayscouk,0
24879,thriving fast paced environment,0
24880,data analyst,1
24881,summary,0
24882,analytical team,0
24883,quality assurance process,0
24884,procedure,0
24885,building relationship,0
24886,stakeholder,0
24887,responsibility,0
24888,gather,0
24889,document,0
24890,business reporting requirement,1
24891,timely delivery,1
24892,mi,0
24893,line,0
24894,business requirementsproduce,0
24895,key performance,1
24896,indicatorsdevelop,0
24897,processesmonitor audit data qualityliaise,1
24898,analyse,0
24899,interpret,0
24900,complex data set,1
24901,report,1
24902,internal external audience,0
24903,business analytics reporting tool,1
24904,requiredcreate data,1
24905,data trend,1
24906,company mi,0
24907,analysis,1
24908,recommendation,0
24909,rectificationbuild professional relationship,0
24910,excellent level,0
24911,customerserviceconform,0
24912,timeline,0
24913,demand,0
24914,priority,0
24915,problem,0
24916,data evaluation analysis,1
24917,relevant computer applicationconfident excel user,1
24918,good working knowledge,1
24919,advanced formulasuse,0
24920,vba power bi desirabledetail,1
24921,collaborationability,0
24922,feedback,0
24923,diligenceproactive nature,0
24924,initiative package,0
24925,benefit,0
24926,shift,0
24927,pm,0
24928,pm day,0
24929,parkingcontributory pension schememedical cash,0
24930,service,0
24931,unsuccessful candidate,0
24932,hour,0
24933,application,0
24934,vacancy,0
24935,detail,0
24936,april,0
24937,place,0
24938,employment agency act,0
24939,proof,0
24940,identification,0
24941,copy,0
24942,passport,0
24943,birth certificate,0
24944,ni number,0
24945,interview process,0
24946,medium data analyst,1
24947,amazing company,0
24948,strength,0
24949,client portfolio,0
24950,performance,1
24951,medium data analyst,1
24952,analytics strategy,0
24953,efficiency,0
24954,growth opportunity,0
24955,data set,1
24956,client marketing channel,0
24957,data,1
24958,positive change,0
24959,tool,1
24960,prospective customer,0
24961,varied role,0
24962,task,0
24963,passionate,0
24964,following skill,0
24965,experience,0
24966,good experience,0
24967,sql,1
24968,python,1
24969,adobe analytics,0
24970,previous analytical roleexcellent communication skill,1
24971,previous medium experience,0
24972,knowledgeexperience,0
24973,google ad,0
24974,campaign manager,0
24975,statistic,0
24976,attribution,0
24977,regression,0
24978,experience,0
24979,power bi,1
24980,datorama,0
24981,idea,0
24982,innovation,0
24983,opportunity,0
24984,best practice,0
24985,process,0
24986,exposure,0
24987,training,0
24988,variety,0
24989,tool,1
24990,access,0
24991,course,0
24992,mentorships,0
24993,digital marketing,0
24994,applicant,0
24995,three five working day,0
24996,touch,0
24997,ofcom,0
24998,touch,0
24999,risk,0
25000,ofcom research,0
25001,people,0
25002,four five adult internet user,0
25003,concern,0
25004,government,0
25005,ofcom,0
25006,online harm,0
25007,uk,0
25008,role,0
25009,tv radio programme,0
25010,extensive experience,0
25011,harm,0
25012,important part,0
25013,job,0
25014,system,0
25015,process,0
25016,u,0
25017,meaningful contribution,0
25018,online safety,0
25019,role,0
25020,challenging opportunity,0
25021,experienced data business analyst,1
25022,business requirement,0
25023,architecture,0
25024,design,0
25025,development,1
25026,requirement,0
25027,role business strategy,0
25028,planning,0
25029,business process improvement,0
25030,alternative solution,0
25031,automation,1
25032,graphical representation,0
25033,business process,0
25034,understanding,0
25035,decision,1
25036,ass,0
25037,business process change,0
25038,new approach,0
25039,business process improvement method,0
25040,line,0
25041,business change management,1
25042,business analysis,1
25043,responsibility,0
25044,investigative work,0
25045,business requirement,0
25046,effective business process,0
25047,improvement,0
25048,information management,1
25049,procedure,0
25050,organisation change,0
25051,appropriate business analysis method,1
25052,technique,0
25053,predictive plandriven approach,0
25054,business case,0
25055,option,0
25056,benefit,0
25057,development,1
25058,associated business risk,0
25059,business change management,1
25060,requirement definition,0
25061,management,1
25062,contributes,0
25063,selection,0
25064,predictive plandriven approach,0
25065,adaptive iterativeagile approach,0
25066,defines,0
25067,requirement definition prioritisation activity,0
25068,initiative,0
25069,complexity,0
25070,input,0
25071,stakeholder,0
25072,constructive challenge,0
25073,requirement,0
25074,error,0
25075,establishes,0
